"pval"	"apval"	"X2_0.97_NA"	"X3_0.96_SBS1.0.94"	"X4_0.81_NA"	"X5_1.0_SBS43.0.91"	"X6_1.0_SBS58.0.87"	"X7_0.94_NA"	"X1_0.97_SBS31.0.95"
"SRR523202_SRR523754"	0.0137808716155427	1	3.72054215358314e-22	62.6968734610275	50.2963565990784	20.8100198537451	140.120476487005	449.948058444093	51.1282151550511
"ACC55HSC15"	0.0146057083162855	1	704.566221996603	0	0	19.2705984639402	0	114.998445973529	71.1647335659279
"AC41HSC3"	0.0159937700113442	1	456.419751342373	0	0	18.84671828213	31.37879146109	63.2113474815308	41.1433914328767
"SRR527366_SRR524089"	0.0172487488975418	1	234.815572611632	124.642901391771	68.4037848087934	22.2693887362254	873.927874849765	262.079369123648	83.8611084781659
"SRR523063_SRR523754"	0.0220747391766514	1	0	164.86939867789	104.379290261609	0	1266.00451661485	0	78.7467944456537
"SRR523590_SRR523488"	0.0222145812791329	1	610.466412518856	0	0	0	708.683712739832	680.924640734337	108.925234006975
"SRR390682_SRR390649"	0.0230484885708827	1	469.128448028602	244.204929461199	0	18.6880499043782	145.25645256459	570.558780121894	91.1633399193372
"SRR1801946_SRR1801393"	0.0234667513562672	1	1098.80845965718	333.84045750778	0	24.1951418826719	231.830507821696	444.343008279383	105.982424851294
"AC63HSCc2"	0.027689500415081	1	621.147184876238	103.499668765921	0	31.0035019261115	48.18407566161	0	55.165568770119
"SRR767471_SRR767455"	0.0279231231469833	1	1035.45095449012	478.26806311529	0	29.6369170582003	201.288735707856	424.317644414691	95.0376852138454
"AC41MPP3"	0.0283713090551956	1	443.168745576631	0	0	10.6588327181993	0	69.6685611486527	56.5038605565173
"SRR1802602_SRR1802367"	0.0304618385806922	1	1162.18899097406	253.54858147513	0	46.3340538919664	196.092442491967	426.253619341171	92.5823118257016
"BCHMPP37"	0.0315774982114414	1	253.609810351305	0	40.6247694866161	0	30.4997826464038	65.3814822493519	32.8841552663235
"SRR390755_SRR407618"	0.0389174238342442	1	321.331970518684	466.512330037748	0	0	428.115131472881	753.802176910827	90.2383910598602
"SRR1802695_SRR1802564"	0.0399614221571863	1	1044.33663379136	474.74217532835	124.074714895012	0	241.295227726394	286.59110740993	100.960140848954
"SRR1802114_SRR1800784"	0.0431424591672686	1	0	0	90.1798176682193	15.3673175044606	198.087065706488	503.02916128085	68.3366378399821
"BCHHSC4"	0.0434820411441775	1	335.183597389553	90.5382496240703	1.47074118691901e-22	15.6059815041097	35.276246998707	7.44080425228563e-23	27.39592448356
"SRR524425_SRR523512"	0.0572345493945976	1	612.596017245924	451.281528046162	0	37.3572762273202	307.627301973614	638.13787650698	0
"SRR1802790_SRR1802664"	0.058740752705762	1	567.030137369974	132.358016087157	0	0	175.190984942967	519.420861599902	0
"SRR523821_SRR523981"	0.0623413699304907	1	278.913326725122	189.203452191184	0	48.8708091081748	782.771837203719	419.240574771801	0
"SRR522960_SRR524453"	0.0645605175145962	1	212.915437239578	152.905435562515	56.6015399127153	56.7974074577868	1180.7801798274	0	0
