"pval"	"apval"	"X2_0.97_NA"	"X3_0.96_SBS1.0.94"	"X4_0.81_NA"	"X5_1.0_SBS43.0.91"	"X6_1.0_SBS58.0.87"	"X7_0.94_NA"	"X1_0.97_SBS31.0.95"	"SBS17b"
"SRR1801924_SRR1802263"	0.551157806666522	1	1002.1309335474	0	110.211946371126	31.6337852451059	172.66127649299	642.644037762729	127.718020580653	0
"PATIENT_WTS_1_TUM1_PATIENT_WTS_1_BUC"	0.560781180503866	1	796.010067448116	0	277.329085897303	84.4770733964851	0	535.34206789969	1379.84170535841	0
"SRR522960_SRR524453"	0.586519888175114	1	212.915437239578	152.905435562515	56.6015399127153	56.7974074577868	1180.7801798274	0	0	0
"SRR523063_SRR523754"	0.58735595460652	1	0	164.86939867789	104.379290261609	0	1266.00451661485	0	78.7467944456537	0
"SRR767564_SRR767447"	0.614980437905507	1	643.991046755403	599.398001009866	464.834038551948	0	262.963879557545	300.316184634387	87.4968494908512	0
"ACMPP31"	0.628462291794416	1	342.345883521415	44.5818098446818	0	10.248950118388	0	0	35.8233565155147	0
"SRR524251_SRR523317"	0.628862785441167	1	0	0	0	0	2247	0	0	0
"SRR1802754_SRR1802621"	0.690932013569873	1	870.67405330506	0	0	0	188.962191110039	404.001117046745	696.362638538156	0
"SRR1802637_SRR1802586"	0.7148471994218	1	709.780836934055	342.542015597035	0	0	301.697386911571	513.850032074722	225.129728482618	0
"SRR1802338_SRR1801402"	0.728493153026033	1	892.923887390881	365.459818740069	110.337373606803	33.5976728314648	213.720082867796	466.961164562986	0	0
"SRR1482114_SRR1482098"	0.729961784990741	1	0	425.245537687349	69.1994325738831	46.7162406907503	148.074793822762	604.141746567307	101.622248657948	0
"ACMPPc6"	0.730538922369394	1	427.006180238072	0	52.6228136354642	15.7571867821729	40.6138193442905	0	0	0
"SRR767507_SRR767431"	0.744110818634938	1	861.301164935235	383.577292003713	0	32.2700404797983	275.271909582987	347.579592998267	0	0
"SRR1802086_SRR1800793"	0.752222979223865	1	236.244390857423	102.523103786135	0	0	168.763112079736	665.487964590188	84.9814286865181	0
"SRR388810_SRR388850"	0.799816501567864	1	364.268246234243	0	0	0	1740.73983294335	0	1649.9919208224	0
"SRR1802102_SRR1800371"	0.85362158291577	1	383.935807944233	0	0	0	240.708085580862	879.356106474906	0	0
"SRR524549_SRR523039"	0.869080560268724	1	534.740853735038	210.956414961533	0	38.8471075038034	656.364662824221	779.090960975404	0	0
"SRR767423_SRR767580"	0.873972703388405	1	1063.67193656383	0	90.4667354563971	25.9188949680587	222.035077100441	674.733058345809	123.174297565462	0
"SRR523710_SRR524517"	0.899100469421919	1	655.822234218889	262.405152186249	96.4001816865299	40.0706447193125	549.664951105727	394.574866763349	138.061969319945	0
"SRR767415_SRR767463"	0.931063661584197	1	311.412088159242	0	2137.86796652714	0	225.632407163059	0	124.087538150562	0
"SRR390616_SRR390604"	0.958051352276392	1	433.423531834561	442.097113798629	115.959673637585	46.5405725068406	153.211622329096	526.260155219446	131.227441398414	0.279889275428959
"SRR522917_SRR523444"	0.973669959844863	1	320.784082328428	408.914826208204	0	31.3960829229044	821.740106007165	493.653711856965	127.511190676334	0
"ACHSC23"	0.983783710310565	1	403.452842058197	0	0	0	28.886720684927	94.6604372568761	0	0
"SRR1802711_SRR1802494"	0.986460065569085	1	666.768912001506	2846.17101938112	210.188460002139	60.8080153573504	232.350848851209	633.829441758446	737.710448233638	0.172854414594869
"SRR390755_SRR407618"	0.999991734271201	1	321.331970518684	466.512330037748	0	0	428.115131472881	753.802176910827	90.2383910598602	0
"SRR1801954_SRR1800335"	0.999992496136019	1	900.293660746201	476.534353431421	0	0	353.416413669361	253.55674987984	182.198822273177	0
"SRR1801946_SRR1801393"	0.999994818182546	1	1098.80845965718	333.84045750778	0	24.1951418826719	231.830507821696	444.343008279383	105.982424851294	0
"SRR1802673_SRR1802764"	0.999995363680257	1	759.140068139988	527.932132070821	0	33.4002021475236	141.699374472159	508.274865565827	105.55335760368	0
"SRR407619_SRR404097"	0.999995737817757	1	330.284937597194	403.639477116951	0	0	174.846510419319	663.125192753262	102.103882113274	0
"SRR767556_SRR767524"	0.999996027870477	1	1058.69525592306	480.496109866245	0	39.203606424973	260.265575131766	393.213794792074	212.125657861879	0
"SRR523096_SRR523625"	0.999996380617834	1	812.355924993821	346.851073637695	0	62.0181526967738	862.624276979312	337.036950651452	174.113621040946	0
"AP0390_AP0395"	0.999996430959398	1	502.838943810422	384.660281779169	217.900818522726	64.4967318009227	0	0	1664.10322408676	0
"ACMPPc8"	0.999996575850941	1	458.732251677386	0	0	0	46.2677483226143	0	0	0
"SRR767544_SRR767572"	0.999996634478838	1	408.219419850608	154.360645225892	56.0239777641224	0	166.191569466339	560.204387693038	0	0
"SRR1802629_SRR1802255"	0.999996661468217	1	875.670902419479	227.736094511331	92.3156801880591	32.9323400164407	168.948034828481	581.065377530102	111.331570506107	2.36287524088282e-23
