"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"SBS17b"
"sample_510"	0.191846985589024	1	0	92.9982368613274	0	0	7.31882841008	98.9851822017666	69.877822933053	128.819929593773	0
"sample_221"	0.192776908455346	1	341.983954329439	0	0	51.8673992906856	0	141.652830265595	32.4958161142801	0	0
"sample_330"	0.195047840645468	1	281.984597182403	37.5591145943807	0	0	0	169.630906581795	636.825381641421	0	0
"sample_96"	0.196404940608002	1	197.780851619085	49.5045296926472	37.7761656404323	81.4675683416656	10.8038020811238	238.644838641435	449.99259704587	38.0296469377416	0
"sample_530"	0.197355355722169	1	0	0	0	158.676173578316	0	305.001620671493	110.32220575019	0	0
"sample_829"	0.201162023127716	1	93.9025510846576	0	0	252.713262642994	0	134.995457187574	292.388729084775	0	0
"sample_451"	0.203485547586539	1	0	43.5419927454822	0	86.7200560865481	0	57.2285191143434	221.509432053626	0	0
"sample_65"	0.203639633648038	1	125.946832186561	0	81.2815261278908	72.2603245622036	0	983.923529075517	85.5877880478279	0	0
"sample_469"	0.209833649183993	1	0	24.9019633480875	0	0	21.93154433315	80.3588398256005	41.807652493162	0	0
"sample_971"	0.214609582458308	1	115.02487782063	0	0	45.1497290060125	232.981656155809	739.202371738212	107.641365279336	0	0
"sample_565"	0.222512826741185	1	108.583991909545	93.0431712807144	0	0	0	274.670754292927	57.8458152705579	60.8562672462564	0
"sample_473"	0.225604565252894	1	0	0	0	67.7195565395931	0	284.280443460407	0	0	0
"sample_324"	0.228546004716427	1	146.588763700881	65.0666120639781	0	107.898088479107	29.7668737531367	998.427677049013	231.251984953884	0	0
"sample_712"	0.23102393936232	1	0	341.986699171439	0	75.7085614741485	0	0	61.3047393544126	0	0
"sample_137"	0.231374646408209	1	264.348216973409	0	17.2688349838159	52.4802320571003	221.633906613316	119.397557732754	159.557529768118	80.3137218714852	0
"sample_166"	0.236791026658627	1	222.410545893819	42.1114839451972	49.4576955199899	165.469750882504	0	0	230.550523758489	0	0
"sample_34"	0.237357810661845	1	0	0	0	0	0	87.1962161034861	16.8037838965139	0	0
"sample_281"	0.241867041117609	1	87.6133070296267	0	0	33.8624332381913	0	408.937716851197	103.270154450889	16.3163884300962	0
"sample_878"	0.242718396531457	1	0	0	0	112.447980009573	0	0	193.552019990427	0	0
"sample_540"	0.247211867430899	1	160.380942306585	0	0	0	66.4411324912642	456.237285057736	98.9406401444148	0	0
"sample_142"	0.249349528860693	1	177.471085156869	0	0	55.9773744934811	0	0	89.5515403496498	0	0
"sample_143"	0.249470499822226	1	0	44.027179549755	117.343413242271	0	11.5017873674639	118.112839141017	152.014780699494	0	0
"sample_341"	0.251564958728285	1	498.230950469352	1425.61051625179	0	70.8073490044233	0	0	103.351184274433	0	0
"sample_761"	0.255397799948632	1	355.6795123127	0	28.901112450109	58.4134236403606	0	218.302813955567	192.703137641264	0	0
"sample_90"	0.257514978081002	1	0	134.732393527632	0	0	0	536.071938674792	162.195667797576	0	0
"sample_444"	0.258194912188868	1	111.982902419497	0	0	1208.95728212577	13.8114641400773	0	84.219483716104	4.54915344227544	42.4797141562763
"sample_311"	0.264750566600846	1	85.6687114502885	0	56.2512534499624	52.3540600616386	0	481.398129780433	77.3278452576772	0	0
"sample_464"	0.266327654224283	1	0	369.724086156136	137.202126420544	0	0	99.374422553147	0	17.6993648701731	0
"sample_848"	0.267521855384714	1	0	0	46.3484932025743	0	160.023433386979	401.872441448591	225.755631961856	0	0
"sample_642"	0.273124852813479	1	0	0	0	61.2603932256654	0	221.204160178002	79.3876568061964	108.147789790136	0
"sample_236"	0.276399784020146	1	56.249408254012	0	0	32.905298362522	4.98186865798154	206.851687360995	0	361.01173736449	0
"sample_611"	0.276762065600775	1	83.6763325955925	0	62.6503164019052	0	64.4033769337552	254.180229727615	108.089744341132	0	0
"sample_401"	0.278018348861801	1	95.1748810553776	85.8928666323338	0	0	0	558.99024983846	111.237484986953	14.7045174868756	0
"sample_276"	0.279721762590952	1	0	0	0	37.4587154011651	0	77.4381769408466	178.103107657988	0	0
"sample_749"	0.280626948128702	1	0	0	84.8197476401878	0	10.6296862288231	0	218.550566130989	0	0
