"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"SBS17b"
"sample_898"	2.09965911015005e-20	2.0219717230745e-17	24.3913528527096	0	0	79.199248950709	16.4274223320946	0	152.545263745723	0	86.4367121187636
"sample_553"	6.57382262717193e-20	6.33059118996657e-17	0	0	0	0	0	25.2708506487539	194.926455135033	20.0259645982428	54.77672961797
"sample_592"	8.68503082425234e-20	8.363684683755e-17	4.11211978538648e-24	90.8100380829593	1.80863461714463e-22	1.306745545149e-22	1.05844349921425e-22	137.331923543874	49.242184954409	1.37587660173501e-23	48.6158534187577
"sample_717"	1.27894014382082e-19	1.23161935849945e-16	86.1758799976624	21.4005689472944	0	24.7703407003448	0	0	98.1210650960694	0	63.5321452586289
"sample_927"	1.332368545968e-19	1.28307090976718e-16	0	0	0	0	0	0	98.2948337669124	0	64.7051662330875
"sample_222"	1.50817428895626e-19	1.45237184026487e-16	55.7801938661674	0	0	0	0	585.532084613842	0	0	76.6877215199904
"sample_110"	2.12455856696807e-19	2.04594989999025e-16	1.10179093351655e-21	8.74099587331907e-23	1.03446548582375e-22	32.3940816464264	20.4297247046	54.6313868266149	175.086258415928	29.0862831163588	69.3722652900719
"sample_519"	5.66812515188007e-19	5.45840452126051e-16	2.95803057862007e-27	3.48167378484744e-28	2.70890545463266e-43	1.36742364610911e-29	3.88265984793289e-29	4.87722054601115e-41	398.09111250159	2.43861027300557e-41	43.90888749841
"sample_33"	8.84440612582611e-19	8.51716309917054e-16	292.399267161455	52.4194581934693	0	0	0	0	19.7069279843548	0	74.4743466607208
"sample_320"	1.49527377819478e-18	1.43994864840158e-15	0	0	21.630112957107	0	0	20.9727219231826	0	0	61.3971651197104
"sample_563"	1.87556261998165e-18	1.80616680304233e-15	164.977543059464	0	0	0	0	0	42.3530621162088	0	63.6693948243273
"sample_418"	1.90110004659616e-18	1.8307593448721e-15	104.0745566613	0	0	60.5446865526898	0	0	150.616888149443	0	71.7638686365675
"sample_378"	1.96065969415787e-18	1.88811528547403e-15	0	138.384819743818	0	0	0	93.4548305336516	130.074806144855	0	59.0855435776754
"sample_464"	2.36283945773525e-18	2.27541439779904e-15	150.605411227081	0	0	0	0	158.813559663613	0	0	57.5810291093062
"sample_569"	3.35747574550918e-18	3.23324914292534e-15	36.4916658855061	0	0	0	0	69.6870079164511	202.65531911377	0	63.166007084273
"sample_642"	4.74212672240253e-18	4.56666803367364e-15	150.483258207531	0	0	0	0	300.568136033723	184.895910954174	0	98.0526948045732
"sample_994"	5.61726639709916e-18	5.4094275404065e-15	2.42765224859417e-24	4.54462633460542e-23	3.3145225136061e-22	21.1616209229393	17.6145663125039	0.197883308902159	132.514463194458	1.51922218758865e-20	46.5114662611965
"sample_106"	6.5418123759421e-18	6.29976531803224e-15	0	0	0	24.3702139063427	33.0993366008113	107.373524196275	35.3146509691426	8.13505872370337	70.7072156037252
"sample_511"	1.03950445245581e-17	1.00104278771494e-14	1.24169815746463e-21	0.196678504970763	35.0043212035963	1.17535953893819e-22	3.71283251172096e-23	1.19224227718721e-22	128.940404665837	3.01300296995099e-22	65.8585956255962
"sample_225"	1.06000367117172e-17	1.02078353533837e-14	12.7723594404393	1.10844959299137e-22	2.17379880381792e-20	19.3653659632367	35.4906605749786	2.84549760356034e-20	81.4673923686772	39.0729527869294	54.8312688657387
"sample_932"	1.41302776008735e-17	1.36074573296412e-14	54.9236948361446	0	0	0	0	640.038976337554	77.7479946707995	0	68.2893341555017
"sample_20"	1.6569596856556e-17	1.59565217728635e-14	90.8552133296283	0	0	0	0	0	222.072222449345	193.526230852495	71.5463333685319
"sample_864"	1.66043706440973e-17	1.59900089302657e-14	123.843568300775	0	0	0	20.228423977188	325.276622280939	0	7.40316587739068	68.2482195637071
"sample_969"	1.88028739752942e-17	1.81071676382083e-14	32.1317347933777	45.894320928604	0	0	0	0	28.7134336474498	0	36.2605106305686
"sample_654"	1.94049900736241e-17	1.86870054409e-14	0	10.3838000871279	0	0	0	88.6947617858928	133.478371336171	22.2616756280601	60.1813911627487
"sample_427"	2.14884540504639e-17	2.06933812505968e-14	0	0	0	0	0	58.8796506469858	62.2545649247174	0	55.8657844282967
